DATE,WTREGEN
1986-01-01,10.1287500000000000
1986-02-01,8.1045000000000000
1986-03-01,3.6567500000000000
1986-04-01,3.7348000000000000
1986-05-01,4.8472500000000000
1986-06-01,2.9162500000000000
1986-07-01,3.4626000000000000
1986-08-01,3.4892500000000000
1986-09-01,4.3105000000000000
1986-10-01,4.3278000000000000
1986-11-01,3.2047500000000000
1986-12-01,3.5310000000000000
1987-01-01,9.1050000000000000
1987-02-01,6.3015000000000000
1987-03-01,3.2097500000000000
1987-04-01,5.7666000000000000
1987-05-01,17.8685000000000000
1987-06-01,6.8070000000000000
1987-07-01,7.0838000000000000
1987-08-01,3.6642500000000000
1987-09-01,9.4806000000000000
1987-10-01,8.6587500000000000
1987-11-01,4.6215000000000000
1987-12-01,3.9900000000000000
1988-01-01,4.7730000000000000
1988-02-01,4.7730000000000000
1988-03-01,4.7730000000000000
1988-04-01,4.7730000000000000
1988-05-01,4.7730000000000000
1988-06-01,4.7730000000000000
1988-07-01,4.7730000000000000
1988-08-01,4.7730000000000000
1988-09-01,4.7730000000000000
1988-10-01,4.7730000000000000
1988-11-01,4.7730000000000000
1988-12-01,4.7730000000000000
1989-01-01,4.7730000000000000
1989-02-01,4.7730000000000000
1989-03-01,4.8978000000000000
1989-04-01,6.5925000000000000
1989-05-01,15.0304000000000000
1989-06-01,9.6697500000000000
1989-07-01,6.9255000000000000
1989-08-01,5.3560000000000000
1989-09-01,7.0425000000000000
1989-10-01,6.8342500000000000
1989-11-01,5.2192000000000000
1989-12-01,4.6525000000000000
1990-01-01,6.2574000000000000
1990-02-01,5.8670000000000000
1990-03-01,5.4070000000000000
1990-04-01,4.5507500000000000
1990-05-01,4.8514000000000000
1990-06-01,5.0315000000000000
1990-07-01,5.4357500000000000
1990-08-01,5.4198000000000000
1990-09-01,6.0735000000000000
1990-10-01,5.7744000000000000
1990-11-01,5.5647500000000000
1990-12-01,5.5037500000000000
1991-01-01,7.9542000000000000
1991-02-01,11.3605000000000000
1991-03-01,6.4982500000000000
1991-04-01,5.6092500000000000
1991-05-01,5.2252000000000000
1991-06-01,5.7055000000000000
1991-07-01,7.1474000000000000
1991-08-01,5.5425000000000000
1991-09-01,7.5745000000000000
1991-10-01,5.9534000000000000
1991-11-01,6.1542500000000000
1991-12-01,6.6682500000000000
1992-01-01,7.9064000000000000
1992-02-01,6.5490000000000000
1992-03-01,5.6095000000000000
1992-04-01,5.0032000000000000
1992-05-01,5.0735000000000000
1992-06-01,6.3122500000000000
1992-07-01,6.1210000000000000
1992-08-01,5.7657500000000000
1992-09-01,10.5890000000000000
1992-10-01,4.9800000000000000
1992-11-01,5.4607500000000000
1992-12-01,5.9528000000000000
1993-01-01,7.4002500000000000
1993-02-01,6.6490000000000000
1993-03-01,5.4488000000000000
1993-04-01,5.9940000000000000
1993-05-01,5.9522500000000000
1993-06-01,8.3478000000000000
1993-07-01,6.2887500000000000
1993-08-01,5.8100000000000000
1993-09-01,8.7390000000000000
1993-10-01,5.8955000000000000
1993-11-01,5.6560000000000000
1993-12-01,6.0886000000000000
1994-01-01,7.0682500000000000
1994-02-01,7.4650000000000000
1994-03-01,4.9876000000000000
1994-04-01,5.5197500000000000
1994-05-01,6.5857500000000000
1994-06-01,5.8254000000000000
1994-07-01,5.4755000000000000
1994-08-01,5.0970000000000000
1994-09-01,5.9130000000000000
1994-10-01,5.4835000000000000
1994-11-01,5.4038000000000000
1994-12-01,6.0127500000000000
1995-01-01,6.7532500000000000
1995-02-01,6.4975000000000000
1995-03-01,5.2220000000000000
1995-04-01,5.8397500000000000
1995-05-01,6.0006000000000000
1995-06-01,6.9820000000000000
1995-07-01,7.6695000000000000
1995-08-01,5.4392000000000000
1995-09-01,6.6597500000000000
1995-10-01,5.6687500000000000
1995-11-01,5.3878000000000000
1995-12-01,6.8257500000000000
1996-01-01,6.2696000000000000
1996-02-01,4.9292500000000000
1996-03-01,5.5255000000000000
1996-04-01,6.9772500000000000
1996-05-01,6.2442000000000000
1996-06-01,5.7947500000000000
1996-07-01,5.5604000000000000
1996-08-01,5.0627500000000000
1996-09-01,5.8475000000000000
1996-10-01,5.3742000000000000
1996-11-01,4.9882500000000000
1996-12-01,5.5745000000000000
1997-01-01,6.1474000000000000
1997-02-01,5.1157500000000000
1997-03-01,5.7932500000000000
1997-04-01,11.9590000000000000
1997-05-01,12.1972500000000000
1997-06-01,7.2365000000000000
1997-07-01,6.2974000000000000
1997-08-01,4.8677500000000000
1997-09-01,5.8997500000000000
1997-10-01,5.7188000000000000
1997-11-01,5.1560000000000000
1997-12-01,5.0760000000000000
1998-01-01,6.6020000000000000
1998-02-01,5.0317500000000000
1998-03-01,5.4472500000000000
1998-04-01,8.4266000000000000
1998-05-01,6.2760000000000000
1998-06-01,7.5307500000000000
1998-07-01,8.0228000000000000
1998-08-01,5.1070000000000000
1998-09-01,6.1596000000000000
1998-10-01,5.4767500000000000
1998-11-01,5.0282500000000000
1998-12-01,5.8584000000000000
1999-01-01,6.4185000000000000
1999-02-01,5.2405000000000000
1999-03-01,5.3686000000000000
1999-04-01,6.1172500000000000
1999-05-01,5.8100000000000000
1999-06-01,5.8094000000000000
1999-07-01,5.2467500000000000
1999-08-01,5.0340000000000000
1999-09-01,6.1822000000000000
1999-10-01,5.3297500000000000
1999-11-01,4.9620000000000000
1999-12-01,6.7048000000000000
2000-01-01,9.7160000000000000
2000-02-01,5.5075000000000000
2000-03-01,5.3294000000000000
2000-04-01,7.4285000000000000
2000-05-01,7.7850000000000000
2000-06-01,6.2035000000000000
